Date,Open,High,Low,Close,Adj Close,Volume
2001-03-19 00:00:00-05:00,13.5,13.829999923706055,12.649999618530273,13.050000190734863,6.671045780181885,757300
2001-03-26 00:00:00-05:00,13.050000190734863,14.069999694824219,13.039999961853027,13.199999809265137,6.7477240562438965,752800
2001-04-02 00:00:00-04:00,13.100000381469727,13.899999618530273,12.850000381469727,13.699999809265137,7.003321170806885,754300
2001-04-09 00:00:00-04:00,13.600000381469727,14.0,13.5,13.699999809265137,7.003321170806885,394500
2001-04-16 00:00:00-04:00,13.699999809265137,14.869999885559082,13.699999809265137,14.100000381469727,7.207796573638916,7115900
2001-04-23 00:00:00-04:00,14.149999618530273,14.390000343322754,13.550000190734863,13.920000076293945,7.115784645080566,2545800
2001-04-30 00:00:00-04:00,14.149999618530273,14.350000381469727,14.0,14.229999542236328,7.274251937866211,894000
2001-05-07 00:00:00-04:00,14.279999732971191,14.279999732971191,13.850000381469727,14.0,7.15667724609375,686600
2001-05-14 00:00:00-04:00,13.979999542236328,16.700000762939453,13.920000076293945,16.25,8.306861877441406,2949700
2001-05-21 00:00:00-04:00,16.200000762939453,16.979999542236328,15.899999618530273,16.299999237060547,8.332422256469727,2520300
2001-05-28 00:00:00-04:00,16.25,16.540000915527344,15.649999618530273,16.0,8.179059028625488,579400
2001-06-04 00:00:00-04:00,16.100000381469727,16.649999618530273,15.75,16.360000610351562,8.36308765411377,381900
2001-06-11 00:00:00-04:00,16.450000762939453,16.450000762939453,14.84000015258789,14.850000381469727,7.591192245483398,862200
2001-06-18 00:00:00-04:00,14.75,16.149999618530273,13.75,15.5600004196167,7.954139709472656,1261900
2001-06-25 00:00:00-04:00,15.649999618530273,16.049999237060547,14.600000381469727,15.529999732971191,7.9388017654418945,1672500
2001-07-02 00:00:00-04:00,15.65999984741211,17.0,15.65999984741211,16.09000015258789,8.225066184997559,1343200
2001-07-09 00:00:00-04:00,16.100000381469727,17.299999237060547,16.100000381469727,17.149999618530273,8.766932487487793,1542000
2001-07-16 00:00:00-04:00,17.5,19.079999923706055,17.399999618530273,19.0,9.712637901306152,4337500
2001-07-23 00:00:00-04:00,19.149999618530273,20.700000762939453,17.850000381469727,18.850000381469727,9.635958671569824,3736800
2001-07-30 00:00:00-04:00,19.350000381469727,20.09000015258789,19.0,19.8700008392334,10.157370567321777,11467900
2001-08-06 00:00:00-04:00,19.8799991607666,19.899999618530273,19.149999618530273,19.760000228881836,10.101141929626465,1934300
2001-08-13 00:00:00-04:00,19.75,20.56999969482422,19.530000686645508,20.020000457763672,10.234046936035156,2433300
2001-08-20 00:00:00-04:00,20.100000381469727,20.100000381469727,18.90999984741211,19.040000915527344,9.733087539672852,1624300
2001-08-27 00:00:00-04:00,19.049999237060547,19.350000381469727,18.049999237060547,18.3799991607666,9.395697593688965,1407900
2001-09-03 00:00:00-04:00,18.6299991607666,19.309999465942383,18.209999084472656,18.280000686645508,9.344576835632324,787800
2001-09-10 00:00:00-04:00,18.149999618530273,18.479999542236328,17.989999771118164,18.149999618530273,9.278120994567871,393600
2001-09-17 00:00:00-04:00,17.0,17.5,14.75,15.119999885559082,7.729211330413818,1589800
2001-09-24 00:00:00-04:00,15.0,16.600000381469727,15.0,15.449999809265137,7.897907257080078,2583500
2001-10-01 00:00:00-04:00,15.40999984741211,16.899999618530273,14.229999542236328,16.899999618530273,8.639134407043457,3879000
2001-10-08 00:00:00-04:00,16.899999618530273,18.010000228881836,16.239999771118164,17.610000610351562,9.002081871032715,937800
2001-10-15 00:00:00-04:00,17.450000762939453,18.0,17.280000686645508,17.579999923706055,8.98674201965332,1272900
2001-10-22 00:00:00-04:00,17.700000762939453,18.149999618530273,17.200000762939453,18.149999618530273,9.278120994567871,926200
2001-10-29 00:00:00-05:00,18.149999618530273,18.149999618530273,17.100000381469727,17.860000610351562,9.129878044128418,946700
2001-11-05 00:00:00-05:00,17.950000762939453,18.25,16.479999542236328,16.75,8.562455177307129,1970300
2001-11-12 00:00:00-05:00,16.950000762939453,17.549999237060547,16.299999237060547,17.34000015258789,8.864057540893555,898300
2001-11-19 00:00:00-05:00,17.34000015258789,17.93000030517578,16.6299991607666,17.899999618530273,9.1503267288208,956400
2001-11-26 00:00:00-05:00,17.899999618530273,18.549999237060547,17.5,17.5,8.945849418640137,1182500
2001-12-03 00:00:00-05:00,17.5,18.3700008392334,17.020000457763672,18.280000686645508,9.344576835632324,1099200
2001-12-10 00:00:00-05:00,18.25,18.25,16.850000381469727,17.229999542236328,8.807827949523926,702900
2001-12-17 00:00:00-05:00,17.229999542236328,17.84000015258789,16.899999618530273,17.81999969482422,9.109431266784668,1103900
2001-12-24 00:00:00-05:00,17.950000762939453,18.639999389648438,17.75,18.5,9.457038879394531,782200
2001-12-31 00:00:00-05:00,18.399999618530273,18.549999237060547,17.899999618530273,18.40999984741211,9.41103458404541,1175100
2002-01-07 00:00:00-05:00,18.25,19.329999923706055,18.18000030517578,19.06999969482422,9.748417854309082,1559800
2002-01-14 00:00:00-05:00,19.079999923706055,19.110000610351562,16.829999923706055,16.829999923706055,8.603347778320312,3673100
2002-01-21 00:00:00-05:00,16.780000686645508,18.100000381469727,16.450000762939453,17.610000610351562,9.002081871032715,2175200
2002-01-28 00:00:00-05:00,17.610000610351562,18.34000015258789,17.299999237060547,18.270000457763672,9.339462280273438,1526800
2002-02-04 00:00:00-05:00,18.200000762939453,18.200000762939453,16.950000762939453,17.81999969482422,9.109431266784668,1371800
2002-02-11 00:00:00-05:00,17.84000015258789,18.649999618530273,17.600000381469727,17.850000381469727,9.124765396118164,1462500
2002-02-18 00:00:00-05:00,17.75,18.950000762939453,17.5,18.6200008392334,9.51838493347168,933800
2002-02-25 00:00:00-05:00,18.850000381469727,19.5,18.549999237060547,19.489999771118164,9.963116645812988,1328400
2002-03-04 00:00:00-05:00,19.5,19.799999237060547,19.299999237060547,19.5,9.968232154846191,847600
2002-03-11 00:00:00-05:00,19.399999618530273,19.459999084472656,18.709999084472656,19.459999084472656,9.947787284851074,1237900
2002-03-18 00:00:00-05:00,19.399999618530273,19.850000381469727,19.110000610351562,19.510000228881836,9.973340034484863,1115100
2002-03-25 00:00:00-05:00,19.510000228881836,19.8799991607666,19.209999084472656,19.790000915527344,10.116477966308594,780400
2002-04-01 00:00:00-05:00,19.790000915527344,20.200000762939453,19.5,19.989999771118164,10.21871280670166,1937300
2002-04-08 00:00:00-04:00,19.850000381469727,20.0,19.34000015258789,19.59000015258789,10.014239311218262,1089200
2002-04-15 00:00:00-04:00,19.75,20.149999618530273,19.3799991607666,19.90999984741211,10.17782211303711,1275800
2002-04-22 00:00:00-04:00,19.850000381469727,19.8700008392334,18.899999618530273,19.299999237060547,9.865996360778809,939200
2002-04-29 00:00:00-04:00,19.299999237060547,20.43000030517578,19.25,20.25,10.351624488830566,871300
2002-05-06 00:00:00-04:00,20.350000381469727,21.049999237060547,19.84000015258789,19.989999771118164,10.21871280670166,1213500
